254 6 7
NTop NFop NCop DDL Nite Nthr 0.001 0.005 0.01 0.05 0.1 0.2 0.5
9 5 0 0 100 1 0.000923052 0.000230616 0.000222617 0.00023255 0.000221823 0.00022023 0.000152107 
9 5 0 0 400 1 0.000952531 0.000276942 0.000259202 0.000258363 0.000256497 0.000267748 0.000192653 
9 5 0 0 800 1 0.00108858 0.000335024 0.000309874 0.000307242 0.000339595 0.000326746 0.000258321 
9 5 0 0 1000 1 0.00120171 0.000398143 0.000379475 0.000376994 0.00038761 0.000377028 0.000310821 
9 5 0 0 1300 1 0.0008861 0.000303479 0.000287754 0.00029428 0.000289261 0.000286675 0.000248003 
9 5 0 0 4000 1 0.00161831 0.00087121 0.000791062 0.000809312 0.000810128 0.00079851 0.000736985 
2 2 0 0 500 1 0.00097692 0.000264357 0.00025055 0.000249975 0.000270139 0.0002511 0.000181782 
2 2 0 0 1000 1 0.0010369 0.000336755 0.000300978 0.000300491 0.000310563 0.000301758 0.000229188 
2 2 0 0 5000 1 0.00141536 0.000695832 0.000694077 0.000678372 0.000689454 0.000690351 0.000608579 
2 2 0 0 1000 1 0.000696553 0.000213782 0.000208109 0.000217073 0.000206928 0.000206299 0.000157848 
2 2 0 0 2000 1 0.00105344 0.000323864 0.000314968 0.000324302 0.000315909 0.000314547 0.000270001 
2 2 0 0 3000 1 0.00106798 0.000426719 0.000410523 0.000407409 0.000418627 0.000415681 0.00036134 
8 8 0 0 10000 1 0.00181937 0.00117043 0.00116293 0.00117104 0.00119418 0.0011644 0.00110828 
8 8 0 0 400 1 0.000901937 0.00022195 0.000225959 0.000214111 0.000220048 0.000213633 0.00016245 
8 8 0 0 4000 1 0.00135327 0.000659753 0.000653178 0.000641645 0.000659148 0.000652224 0.000576318 
17 10 2 0 1000 1 0.0010794 0.000317615 0.00032328 0.000308535 0.000307445 0.000319255 0.000237178 
17 10 2 0 5000 1 0.00111303 0.000570154 0.000548392 0.000562714 0.000547473 0.000555585 0.000496311 
17 10 2 0 9000 1 0.00137987 0.000766302 0.000756504 0.00074841 0.000752107 0.000769835 0.000723536 
8003 2001 1001 1 1000 1 0.00850826 0.00771447 0.007672 0.00764406 0.00763353 0.00764178 0.00756344 
23111 8804 1102 1 1100 1 0.00758141 0.00646423 0.00627919 0.00617532 0.005981 0.0059793 0.00594603 
7202 2400 1201 1 1200 1 0.0134429 0.0119117 0.011947 0.0116531 0.0119531 0.0119378 0.0119536 
8003 2001 1001 1 1000 1 0.0139902 0.0119149 0.0111435 0.0106209 0.0100993 0.00964758 0.0092282 
44111 16804 2102 1 2100 1 0.0222591 0.0215521 0.0215257 0.0214996 0.0215266 0.0215206 0.0215109 
13202 4400 2201 1 2200 1 0.041603 0.040757 0.0404839 0.0410267 0.0452227 0.0425174 0.0408663 
24003 6001 3001 1 3000 1 0.0696424 0.0682665 0.068156 0.06819 0.068272 0.0683697 0.0685664 
65111 24804 3102 1 3100 1 0.047652 0.0467556 0.0468863 0.0467367 0.0466678 0.0467226 0.0470188 
19202 6400 3201 1 3200 1 0.0909694 0.0855216 0.0854869 0.0858161 0.0856066 0.0858289 0.0848654 
32003 8001 4001 1 4000 1 0.123151 0.121064 0.120907 0.120722 0.120968 0.121082 0.121988 
86111 32804 4102 1 4100 1 0.0830929 0.0816995 0.0816663 0.0816944 0.0819866 0.0817781 0.0818691 
25202 8400 4201 1 4200 1 0.176406 0.146221 0.147003 0.145955 0.146392 0.148043 0.148217 
40003 10001 5001 1 5000 1 0.191214 0.188812 0.188836 0.188852 0.18864 0.188731 0.188618 
107111 40804 5102 1 5100 1 0.12799 0.126324 0.126357 0.126529 0.126356 0.126384 0.126291 
31202 10400 5201 1 5200 1 0.226903 0.224199 0.22257 0.22878 0.227028 0.225721 0.224555 
48803 12201 6101 1 6100 1 0.283982 0.280981 0.281347 0.281008 0.281158 0.281095 0.28103 
107111 40804 5102 1 5100 1 0.127681 0.126391 0.126184 0.126218 0.126485 0.126338 0.126184 
31202 10400 5201 1 5200 1 0.234878 0.231218 0.225989 0.227452 0.223657 0.225079 0.225588 
56003 14001 7001 1 7000 1 0.372089 0.368884 0.369424 0.369439 0.369436 0.369658 0.370751 
168011 64004 8002 1 8000 1 0.312509 0.30977 0.309626 0.309561 0.309631 0.310127 0.309853 
54002 18000 9001 1 9000 1 0.674865 0.673576 0.67058 0.675644 0.670641 0.670985 0.672514 
802 300 101 1 1000 1 0.0767145 0.0512968 0.0465052 0.0456968 0.0447636 0.0447413 0.0447048 
802 300 101 1 2000 1 0.109937 0.0897529 0.0896428 0.089491 0.0894675 0.0896273 0.0894157 
802 300 101 1 3000 1 0.168355 0.142287 0.135106 0.134149 0.13408 0.134107 0.134045 
802 300 101 1 4000 1 0.212481 0.184128 0.178652 0.178856 0.178809 0.178791 0.17853 
802 300 101 1 5000 1 0.269666 0.223473 0.22406 0.223419 0.224452 0.223461 0.223451 
1223706 320800 10053 2 200 1 0.0649203 0.0499307 0.0432763 0.0433564 0.0432352 0.0432618 0.0440488 
2750556 721200 22578 2 300 1 0.154282 0.147827 0.147697 0.147721 0.147898 0.14786 0.150023 
4887406 1281600 40103 2 400 1 0.356696 0.343833 0.344276 0.344179 0.343627 0.343622 0.34341 
7634256 2002000 62628 2 500 1 0.721506 0.672594 0.671649 0.671097 0.672414 0.671766 0.671058 
10991106 2882400 90153 2 600 1 1.16245 1.15642 1.1565 1.15617 1.1561 1.15662 1.156 
14957956 3922800 122678 2 700 1 1.85333 1.84157 1.83836 1.83863 1.83814 1.83755 1.83984 
30518506 8004000 250253 2 1000 1 5.35141 5.34947 5.34994 5.34889 5.34757 5.34692 5.34795 
43942206 11524800 360303 2 1200 1 9.2436 9.24071 9.24099 9.24081 9.23903 9.24014 9.24174 
68652756 18006000 562878 2 1500 1 18.292 18.2888 18.2888 18.2878 18.2907 18.2935 18.5013 
122037006 32008000 1000503 2 2000 1 43.6586 43.4922 43.444 43.611 43.6607 43.6649 43.6028 
9226 1000 1113 3 10 1 0.00127525 0.00056541 0.000565918 0.00057238 0.000555033 0.00056546 0.000553911 
72846 8000 8423 3 20 1 0.00724582 0.00641547 0.00614895 0.00597862 0.00586342 0.00564391 0.00562048 
244866 27000 27933 3 30 1 0.0321218 0.0275942 0.0248045 0.0224868 0.0220922 0.0221274 0.0220873 
579286 64000 65643 3 40 1 0.0913938 0.0714562 0.0712497 0.0709806 0.0710396 0.0711551 0.0710536 
1130106 125000 127553 3 50 1 0.191311 0.184853 0.177172 0.177007 0.176883 0.185939 0.17866 
9 5 0 0 200 2 0.000535516 0.000251155 0.000216908 0.000212191 0.000218494 0.00020257 0.000164112 
9 5 0 0 300 2 0.000580455 0.000467374 0.000289142 0.000259065 0.000310595 0.000243045 0.000252313 
9 5 0 0 700 2 0.000371569 0.000268511 0.000267862 0.000307664 0.00030803 0.00027607 0.000344607 
9 5 0 0 1222 2 0.000835819 0.00090349 0.00102599 0.000792886 0.000862001 0.00103919 0.00101451 
9 5 0 0 1300 2 0.00114619 0.00113833 0.00098853 0.000647174 0.00100883 0.00108497 0.00104246 
2 2 0 0 100 2 0.000437671 0.000165191 0.000135892 0.000137296 0.000137779 0.00011088 5.5927e-05 
2 2 0 0 400 2 0.000380704 0.000149696 0.000146391 0.000122531 0.00014362 9.8327e-05 4.4865e-05 
2 2 0 0 1111 2 0.000415178 0.000232109 0.000180944 0.000175493 0.000181764 0.000160251 0.000159969 
2 2 0 0 5555 2 0.000350611 0.000270416 0.000253507 0.000255037 0.000258491 0.000276497 0.000221651 
2 2 0 0 1789 2 0.000473925 0.000239592 0.000189313 0.000186551 0.000182884 0.000204235 0.000152005 
8 8 0 0 2000 2 0.000354866 0.000243612 0.000226123 0.000241347 0.000227993 0.000197778 0.000134937 
8 8 0 0 10000 2 0.000586727 0.000525353 0.000501151 0.000490783 0.00049869 0.000551571 0.000414397 
8 8 0 0 400 2 0.000474486 0.000144108 0.000161187 0.000153214 0.000149781 0.000118999 5.2334e-05 
8 8 0 0 4000 2 0.000707245 0.000399809 0.00030656 0.000309527 0.000307513 0.000303385 0.000208958 
8 8 0 0 100 2 0.000407547 0.000154976 0.00015711 0.000140374 0.000129383 0.000108709 4.3152e-05 
17 10 2 0 1000 2 0.000452216 0.000207756 0.00020103 0.000204778 0.000197339 0.000169972 9.1158e-05 
17 10 2 0 5000 2 0.000465958 0.000367485 0.000349015 0.00038874 0.000353219 0.000349392 0.000253322 
17 10 2 0 9000 2 0.000843847 0.000707192 0.000708506 0.000722613 0.000726619 0.000724608 0.000559056 
7203 1801 901 1 900 2 0.00349776 0.00329968 0.00326783 0.00320268 0.00316739 0.00373138 0.00308049 
21011 8004 1002 1 1000 2 0.00270278 0.0025616 0.00253975 0.00252974 0.0025647 0.00301832 0.00269075 
6002 2000 1001 1 1000 2 0.00719627 0.00673598 0.00655388 0.00639194 0.00623898 0.00701658 0.00609246 
16163 4041 2021 1 2020 2 0.0156075 0.015597 0.0155975 0.015556 0.0155781 0.0187705 0.0154851 
42431 16164 2022 1 2020 2 0.0100648 0.00998397 0.0099959 0.0100292 0.0099292 0.0118598 0.00986795 
13802 4600 2301 1 2300 2 0.0275105 0.0245799 0.0224097 0.0227188 0.0229353 0.0268816 0.0221663 
27203 6801 3401 1 3400 2 0.0439197 0.0447163 0.0437676 0.0438861 0.0438492 0.05256 0.0436843 
65111 24804 3102 1 3100 2 0.023386 0.0233109 0.0232858 0.0233501 0.0232704 0.0283271 0.0256085 
18602 6200 3101 1 3100 2 0.0456055 0.0458349 0.0404813 0.0403599 0.0411447 0.0495677 0.0402031 
35555 8889 4445 1 4444 2 0.0750856 0.0747282 0.0746793 0.0749597 0.0748535 0.0894797 0.0743675 
40003 10001 5001 1 5000 2 0.0950326 0.0944959 0.0945873 0.0943116 0.0944145 0.113152 0.0942499 
107342 40892 5113 1 5111 2 0.0632136 0.0630995 0.0630617 0.0631241 0.0631089 0.0757108 0.0630069 
33002 11000 5501 1 5500 2 0.126801 0.126512 0.126267 0.126401 0.126705 0.154173 0.12704 
56003 14001 7001 1 7000 2 0.185761 0.184869 0.185022 0.18515 0.185646 0.229131 0.185622 
126011 48004 6002 1 6000 2 0.0873798 0.0873222 0.0874485 0.0874467 0.087327 0.104747 0.0871123 
802 300 101 1 800 2 0.0326551 0.0273706 0.0241387 0.0219468 0.0201962 0.0219778 0.0180216 
802 300 101 1 200 2 0.00746148 0.00687425 0.00663816 0.00637336 0.0062309 0.00718712 0.00576731 
802 300 101 1 2000 2 0.0655424 0.0506676 0.0508498 0.0452692 0.0450493 0.053931 0.0449814 
802 300 101 1 150 2 0.0073208 0.00635722 0.00627713 0.00596029 0.00576785 0.00658899 0.0051976 
1361788 357008 11186 2 210 2 0.0364823 0.0334938 0.0338499 0.0297486 0.0267278 0.0324519 0.0271033 
2955738 775008 24261 2 310 2 0.100031 0.10572 0.0846435 0.0845237 0.0852115 0.0969513 0.0823489 
5159688 1353008 42336 2 410 2 0.190918 0.19172 0.190221 0.190698 0.190855 0.231207 0.190299 
7973638 2091008 65411 2 510 2 0.373671 0.363027 0.362894 0.362742 0.365064 0.441182 0.361719 
11397588 2989008 93486 2 610 2 0.638872 0.629374 0.620677 0.629217 0.626535 0.74322 0.621951 
15431538 4047008 126561 2 710 2 0.994174 0.983167 0.982088 0.990934 0.973101 1.18215 0.971599 
31193388 8181008 255786 2 1010 2 2.81442 2.83178 2.82945 2.83146 2.84759 3.37193 2.81128 
44751288 11737008 366936 2 1210 2 4.8964 4.83212 4.88311 4.98169 4.91986 5.7872 4.97304 
69663138 18271008 571161 2 1510 2 9.37578 9.47362 9.58058 9.53204 9.60578 11.2731 9.34145 
30861 3375 3618 3 15 2 0.0352006 0.028953 0.0254262 0.0235544 0.0200898 0.0218127 0.0198024 
141931 15625 16278 3 25 2 0.228952 0.183272 0.194652 0.190925 0.179271 0.197765 0.18793 
388401 42875 44138 3 35 2 0.806949 0.745481 0.79463 0.754346 0.783025 0.791172 0.797792 
824271 91125 93198 3 45 2 2.14998 2.1178 2.12893 2.16259 2.1388 2.13368 2.1432 
1503541 166375 169458 3 55 2 4.93041 5.08959 4.96046 5.09384 5.00673 5.11974 4.96767 
9 5 0 0 300 4 0.000447009 0.000296317 0.000260205 0.000294122 0.000312459 0.000247356 0.000239699 
9 5 0 0 700 4 0.000634401 0.00041029 0.00039323 0.000341561 0.00041469 0.000391448 0.000562613 
9 5 0 0 1222 4 0.000784468 0.000702063 0.000707059 0.000668755 0.00071477 0.000698149 0.00111412 
9 5 0 0 1300 4 0.000606256 0.000525027 0.000498791 0.000494321 0.000498132 0.000491214 0.000684571 
2 2 0 0 100 4 0.00035449 0.000190243 0.000153442 0.000138567 0.000128479 9.2423e-05 4.8434e-05 
2 2 0 0 200 4 0.000446016 0.000275246 0.000188738 0.000167085 0.000159035 0.00011738 5.5055e-05 
2 2 0 0 300 4 0.000362957 0.000244394 0.000253796 0.000167351 0.000141061 0.000126915 6.8647e-05 
2 2 0 0 400 4 0.000272972 0.000138443 0.000104874 0.000103774 9.4753e-05 7.1869e-05 5.1781e-05 
2 2 0 0 1000 4 0.000336115 0.000206983 0.000174505 0.000165354 0.000147306 0.000116723 8.5857e-05 
2 2 0 0 1700 4 0.0004093 0.000270387 0.000260154 0.000246061 0.000173546 0.000163862 0.000128499 
8 8 0 0 2222 4 0.00042297 0.00030338 0.000308274 0.000296862 0.000214689 0.000208817 0.000192367 
8 8 0 0 1000 4 0.000458873 0.000235404 0.00025509 0.00021601 0.000167459 0.000138645 0.000118805 
8 8 0 0 444 4 0.000295744 0.000166981 0.000151007 0.000146995 0.000103429 8.3318e-05 5.342e-05 
8 8 0 0 4444 4 0.000473456 0.000276401 0.000291861 0.000263628 0.000241286 0.0002557 0.000286457 
8 8 0 0 100 4 0.00039188 0.000222446 0.000191222 0.000176366 0.000155916 0.000118624 6.0324e-05 
17 10 2 0 1000 4 0.000488961 0.00026352 0.00019264 0.000210566 0.000183355 0.000154335 0.000107105 
17 10 2 0 4000 4 0.00038903 0.000251034 0.000228281 0.000259286 0.000215225 0.000212618 0.000227324 
17 10 2 0 8500 4 0.00058266 0.000487442 0.000415305 0.000424292 0.000388136 0.000456859 0.000989843 
17 10 2 0 500 4 0.000222569 0.000115078 0.000113915 0.000120205 8.1608e-05 6.925e-05 4.3293e-05 
7203 1801 901 1 900 4 0.00183373 0.0017423 0.00167408 0.00166969 0.00189121 0.00247201 0.00333721 
21011 8004 1002 1 1000 4 0.00150936 0.00144912 0.00144962 0.00141653 0.00157875 0.00204153 0.00253249 
6002 2000 1001 1 1000 4 0.00291092 0.00282598 0.00279562 0.00273146 0.00303383 0.00397494 0.0052655 
16163 4041 2021 1 2020 4 0.00821567 0.0083204 0.0083987 0.00834109 0.00968963 0.0129029 0.0160396 
42431 16164 2022 1 2020 4 0.00539929 0.006258 0.00529211 0.00525548 0.00613712 0.00820405 0.0101791 
13802 4600 2301 1 2300 4 0.0147477 0.0167567 0.0126881 0.0122836 0.0143786 0.0189203 0.023581 
27203 6801 3401 1 3400 4 0.0237073 0.0231347 0.0229401 0.0228246 0.0280467 0.0363334 0.0451502 
65111 24804 3102 1 3100 4 0.0133727 0.0124915 0.012359 0.0123531 0.0144293 0.0192147 0.023949 
18602 6200 3101 1 3100 4 0.0215687 0.0214848 0.0218462 0.021064 0.0251893 0.0349264 0.0412716 
35555 8889 4445 1 4444 4 0.0400625 0.0388005 0.0397561 0.0388044 0.0463234 0.0618159 0.0768797 
40003 10001 5001 1 5000 4 0.0509096 0.0501889 0.0506598 0.0515374 0.058827 0.078248 0.106082 
107342 40892 5113 1 5111 4 0.0337482 0.033471 0.0339688 0.0336372 0.0391522 0.052114 0.0716249 
33002 11000 5501 1 5500 4 0.0692448 0.0694663 0.0688877 0.0683645 0.0817394 0.108283 0.138688 
56003 14001 7001 1 7000 4 0.097254 0.0981055 0.0961081 0.0990451 0.114902 0.153024 0.191622 
126011 48004 6002 1 6000 4 0.0457611 0.0455072 0.0563341 0.0454986 0.0542864 0.0720069 0.0899165 
802 300 101 1 500 4 0.0109261 0.0100077 0.00952218 0.00898013 0.0100051 0.0126016 0.028495 
802 300 101 1 700 4 0.0091731 0.00898814 0.00867615 0.00861875 0.0102235 0.0135284 0.0230361 
802 300 101 1 1000 4 0.0191427 0.0172424 0.01594 0.0147529 0.0164847 0.020314 0.0240887 
802 300 101 1 2050 4 0.0259709 0.0250381 0.0249966 0.0250244 0.0297057 0.0437689 0.0490877 
3418806 896448 28059 2 333 4 0.0807453 0.0610226 0.0622153 0.0584632 0.0642769 0.0868996 0.108132 
6020868 1578864 49398 2 444 4 0.128911 0.143751 0.130089 0.128892 0.145277 0.194712 0.485248 
9421982 2470864 77287 2 555 4 0.253549 0.251637 0.250568 0.249093 0.290091 0.386286 0.483519 
13581448 3561776 111392 2 666 4 0.449388 0.439699 0.438214 0.438972 0.496796 0.660772 0.836768 
18499266 4851600 151713 2 777 4 0.694052 0.691436 0.678232 0.676807 0.802517 1.0698 1.34572 
37701254 9887904 309139 2 1111 4 1.98034 1.95629 1.98765 2.00968 2.32116 3.11238 3.83612 
45642354 11970720 374241 2 1222 4 2.63346 2.64612 2.64818 2.682 3.04773 4.04992 5.11135 
9226 1000 1113 3 10 4 0.00084869 0.000730614 0.00072808 0.000750819 0.000735427 0.00073714 0.000707414 
25122 2744 2957 3 14 4 0.0269161 0.0225853 0.021127 0.0186216 0.0178605 0.0227953 0.0216344 
84279 9261 9726 3 21 4 0.146679 0.114301 0.114857 0.123288 0.115055 0.117892 0.117529 
126221 48084 6012 1 6010 6 0.0324087 0.0318432 0.0320918 0.0377739 0.0381549 0.074248 0.0929771 
802 300 101 1 600 6 0.00900032 0.0101067 0.00781532 0.00881469 0.00833298 0.0155354 0.0179642 
802 300 101 1 200 6 0.00270512 0.00257547 0.0025346 0.00265615 0.00256541 0.00253727 0.00619091 
802 300 101 1 2000 6 0.020778 0.0187747 0.0174906 0.0194987 0.0209045 0.0385373 0.0480911 
802 300 101 1 3333 6 0.0398919 0.0331768 0.0290682 0.0320851 0.0322503 0.0644007 0.0804506 
306856 80400 2528 2 100 6 0.00226134 0.00210979 0.00209876 0.00207625 0.00233304 0.00378732 0.0048334 
1223706 320800 10053 2 200 6 0.015632 0.0144048 0.011975 0.0117228 0.012009 0.0221492 0.0248183 
2750556 721200 22578 2 300 6 0.0398398 0.0312715 0.0298791 0.0314986 0.0335212 0.0645813 0.0796514 
4887406 1281600 40103 2 400 6 0.0824558 0.0682945 0.0680929 0.0741266 0.0756584 0.147989 0.184965 
7634256 2002000 62628 2 500 6 0.139224 0.128632 0.128989 0.141889 0.146457 0.298273 0.374746 
17215918 4515008 141191 2 750 6 0.43618 0.430097 0.424785 0.479052 0.498533 0.497553 1.22841 
30518506 8004000 250253 2 1000 6 1.02145 0.995318 1.02168 1.15507 1.17192 2.29093 2.86747 
122037006 32008000 1000503 2 2000 6 7.88169 7.97189 7.99197 9.40504 9.42812 18.1778 22.4828 
1191 125 158 3 5 6 0.000147963 7.7793e-05 7.9367e-05 9.5775e-05 8.104e-05 8.5315e-05 8.4816e-05 
9226 1000 1113 3 10 6 0.000598584 0.000561409 0.000557638 0.000554726 0.000562741 0.000556773 0.000557343 
72846 8000 8423 3 20 6 0.142618 0.106413 0.103882 0.108404 0.10453 0.106984 0.109374 
9 5 0 0 210 8 0.000492062 0.000295682 0.000353076 0.000263234 0.000242013 0.000177507 0.000211689 
9 5 0 0 310 8 0.000458123 0.000310587 0.000267563 0.000297772 0.000258531 0.000194567 0.000194738 
9 5 0 0 710 8 0.000618271 0.00047743 0.000461538 0.000437066 0.000415976 0.000269852 0.000413332 
9 5 0 0 1100 8 0.000876548 0.000838802 0.000843726 0.000822464 0.000745405 0.000639676 0.00114742 
9 5 0 0 1400 8 0.00119244 0.00116664 0.00108121 0.00116765 0.00101877 0.000799772 0.00204053 
2 2 0 0 400 8 0.000310112 0.000150247 0.000176089 0.000106085 7.1612e-05 4.8435e-05 4.2081e-05 
2 2 0 0 1111 8 0.000537894 0.000281625 0.000283789 0.000227125 0.000150623 0.000104108 0.000139111 
2 2 0 0 5555 8 0.000326754 0.000207054 0.000167721 0.000154205 0.000122192 0.000174785 0.000194355 
2 2 0 0 1789 8 0.00058437 0.000328916 0.000218551 0.00015981 0.000158481 0.000125584 0.000127929 
8 8 0 0 2000 8 0.000391639 0.000202754 0.000203502 0.00014402 0.00012107 0.000126036 0.00013907 
8 8 0 0 10000 8 0.000471482 0.000337192 0.000315451 0.000271733 0.000257148 0.000404679 0.000500016 
8 8 0 0 400 8 0.000335058 0.000213535 0.0002198 0.000140673 0.000110545 5.9702e-05 5.3559e-05 
8 8 0 0 4000 8 0.000407665 0.000235575 0.00019204 0.000159607 0.000137569 0.000187422 0.000234224 
8 8 0 0 100 8 0.000243274 0.000188396 0.000191997 0.000120796 8.1369e-05 4.0484e-05 2.8399e-05 
17 10 2 0 1000 8 0.000393686 0.000278877 0.000221615 0.000138666 0.000108522 8.9641e-05 7.6218e-05 
17 10 2 0 5000 8 0.00050226 0.000293039 0.000314438 0.000210457 0.000187913 0.000250872 0.000282073 
17 10 2 0 9000 8 0.000404489 0.000226297 0.000194227 0.000183068 0.000169305 0.000151472 0.000321739 
7203 1801 901 1 900 8 0.00118291 0.00105788 0.00101698 0.00106958 0.00136634 0.00134487 0.00330694 
21011 8004 1002 1 1000 8 0.000945659 0.000881091 0.000822899 0.000866301 0.00111202 0.0021212 0.00262762 
6002 2000 1001 1 1000 8 0.00214884 0.00195483 0.00180013 0.00204438 0.00260598 0.00484907 0.00609963 
16163 4041 2021 1 2020 8 0.00514625 0.00478956 0.00474357 0.00529247 0.00697644 0.0143438 0.0171738 
42431 16164 2022 1 2020 8 0.00320026 0.00307624 0.00294443 0.00338139 0.0045052 0.00878642 0.0109381 
13802 4600 2301 1 2300 8 0.00665556 0.00677718 0.00660967 0.00759612 0.010013 0.0199326 0.0244917 
27203 6801 3401 1 3400 8 0.0135759 0.0131829 0.0131319 0.0147699 0.0195649 0.0386493 0.0483215 
65111 24804 3102 1 3100 8 0.00764038 0.00678416 0.00693963 0.00788178 0.010474 0.0103945 0.0256749 
18602 6200 3101 1 3100 8 0.0118297 0.0118931 0.0117207 0.0136257 0.0180749 0.0358364 0.0447569 
35555 8889 4445 1 4444 8 0.022698 0.0220793 0.021529 0.0250732 0.0331755 0.0659448 0.0827766 
40003 10001 5001 1 5000 8 0.0283528 0.0271413 0.0268058 0.0340077 0.0419557 0.0838128 0.104349 
107342 40892 5113 1 5111 8 0.0221821 0.0219715 0.0219593 0.0216656 0.0296279 0.0425641 0.0732848 
33002 11000 5501 1 5500 8 0.0366457 0.0367949 0.0365407 0.0426901 0.0585065 0.117128 0.140536 
56003 14001 7001 1 7000 8 0.0551731 0.0531274 0.0546092 0.0659992 0.0818822 0.163018 0.203783 
126011 48004 6002 1 6000 8 0.0257328 0.0255066 0.0253152 0.0293052 0.0387231 0.0387123 0.0960652 
802 300 101 1 800 8 0.00528354 0.00519586 0.00518523 0.00608674 0.008052 0.0160492 0.0200145 
802 300 101 1 200 8 0.00299452 0.00288117 0.00248032 0.00261562 0.00336637 0.00328056 0.0076904 
802 300 101 1 2000 8 0.0210965 0.0186536 0.0169713 0.0182538 0.0223284 0.0403108 0.0500728 
802 300 101 1 150 8 0.00142935 0.00135054 0.00125605 0.00126661 0.00172918 0.00168672 0.00399484 
1926168 505008 15816 2 250 8 0.0203807 0.0165959 0.0152577 0.0157496 0.0227378 0.0381659 0.0487952 
3764118 987008 30891 2 350 8 0.0361875 0.0358493 0.0365283 0.0361024 0.053539 0.0535267 0.130888 
6212068 1629008 50966 2 450 8 0.074527 0.0817397 0.078532 0.0832756 0.114194 0.218509 0.278646 
9270018 2431008 76041 2 550 8 0.140938 0.139023 0.133505 0.153561 0.204545 0.205369 0.504725 
