56 5 5
NTop NFop NCop Nthr Nite 0.5 0.125 0.03125 0.0078125 0.001953125 
14957956 3922800 122678 700 6 0.999213 0.497273 0.356467 0.359604 0.354994 
14957956 3922800 122678 700 10 1.01633 0.480217 0.243863 0.238446 0.228966 
14957956 3922800 122678 700 4 0.969033 0.483367 0.486821 0.483681 0.482884 
10991106 2882400 90153 600 10 0.657411 0.331048 0.150707 0.138602 0.138136 
14957956 3922800 122678 700 2 0.922188 0.953977 0.932212 0.926976 0.924743 
4887406 1281600 40103 400 14 0.193307 0.0933678 0.0344519 0.0309765 0.0308116 
306856 80400 2528 100 12 0.00482165 0.00176225 0.000885065 0.000862057 0.000835375 
1223706 320800 10053 200 2 0.0224131 0.0226518 0.0225345 0.0224651 0.02258 
14957956 3922800 122678 700 12 1.02232 0.474485 0.19368 0.188759 0.187122 
14957956 3922800 122678 700 14 1.02367 0.507393 0.186558 0.167669 0.167409 
2750556 721200 22578 300 6 0.0881459 0.0396315 0.0291369 0.0287781 0.0293388 
1223706 320800 10053 200 12 0.0256084 0.0122827 0.00513996 0.00519324 0.00516175 
10991106 2882400 90153 600 2 0.575181 0.583667 0.582863 0.581654 0.58662 
1223706 320800 10053 200 10 0.0254602 0.0124287 0.00577616 0.00554089 0.00579198 
1223706 320800 10053 200 14 0.0255186 0.0109875 0.00480968 0.00400362 0.003983 
10991106 2882400 90153 600 4 0.621573 0.357445 0.333253 0.319909 0.319073 
7634256 2002000 62628 500 2 0.336893 0.344447 0.342109 0.345739 0.343016 
4887406 1281600 40103 400 10 0.190779 0.0884753 0.0458 0.043736 0.0428579 
19534806 5123200 160203 800 6 1.46071 0.737497 0.525714 0.524563 0.524646 
306856 80400 2528 100 8 0.0033462 0.00148024 0.0010463 0.00104277 0.00148988 
306856 80400 2528 100 4 0.00390995 0.00190169 0.00238774 0.00211834 0.00198439 
4887406 1281600 40103 400 12 0.190146 0.0895214 0.035045 0.0381274 0.037199 
19534806 5123200 160203 800 12 1.50165 0.683921 0.294285 0.274588 0.285677 
19534806 5123200 160203 800 14 1.50127 0.719612 0.286506 0.243662 0.245167
7634256 2002000 62628 500 14 0.37335 0.178689 0.0689649 0.0629447 0.0617605 
4887406 1281600 40103 400 2 0.170803 0.178994 0.177978 0.178633 0.178229 
19534806 5123200 160203 800 8 1.54439 0.770623 0.416231 0.403401 0.408728 
10991106 2882400 90153 600 6 0.618873 0.312968 0.216476 0.215765 0.215997 
19534806 5123200 160203 800 10 1.51241 0.757886 0.372917 0.333537 0.328035 
14957956 3922800 122678 700 8 1.02845 0.519592 0.275085 0.280029 0.275404 
4887406 1281600 40103 400 8 0.190486 0.0976312 0.0537398 0.0536181 0.0535696 
10991106 2882400 90153 600 12 0.630982 0.313163 0.123805 0.120368 0.122486 
2750556 721200 22578 300 2 0.0735348 0.0765662 0.0767031 0.0760199 0.0782852 
4887406 1281600 40103 400 4 0.194551 0.0926192 0.0947804 0.0973034 0.095853 
1223706 320800 10053 200 8 0.0239392 0.0129101 0.00714408 0.00703175 0.00712997 
10991106 2882400 90153 600 8 0.642385 0.325207 0.172869 0.172903 0.1761 
19534806 5123200 160203 800 4 1.42727 0.718306 0.747968 0.739602 0.737692 
4887406 1281600 40103 400 6 0.183793 0.0932364 0.0673459 0.0664655 0.0668711 
306856 80400 2528 100 6 0.00533475 0.00204577 0.00161347 0.001481 0.00138785 
10991106 2882400 90153 600 14 0.641102 0.291888 0.116067 0.103893 0.104339 
2750556 721200 22578 300 10 0.0900479 0.0405958 0.0191388 0.0175559 0.0176628 
7634256 2002000 62628 500 12 0.367773 0.184497 0.0723796 0.0720211 0.0709706 
7634256 2002000 62628 500 6 0.40352 0.183412 0.127774 0.12742 0.128385 
2750556 721200 22578 300 8 0.0907419 0.041508 0.0233653 0.0231044 0.0238583 
306856 80400 2528 100 2 0.00361926 0.00334325 0.00336547 0.00322133 0.00319907 
7634256 2002000 62628 500 8 0.376524 0.187921 0.0996566 0.0968498 0.0976072 
1223706 320800 10053 200 6 0.0289373 0.0119936 0.00907028 0.00887166 0.00917297 
306856 80400 2528 100 10 0.00428617 0.00181903 0.000974035 0.000896502 0.000871371 
19534806 5123200 160203 800 2 1.37016 1.37774 1.38141 1.38186 1.36974 
2750556 721200 22578 300 4 0.0761464 0.0394976 0.0403548 0.0406171 0.0404507 
7634256 2002000 62628 500 4 0.350333 0.178495 0.180084 0.182354 0.179109 
2750556 721200 22578 300 12 0.0813441 0.0379286 0.0166043 0.0159127 0.0163213 
7634256 2002000 62628 500 10 0.373547 0.187518 0.0862816 0.0855681 0.0850022 
2750556 721200 22578 300 14 0.0810445 0.0393842 0.0151106 0.0147942 0.0142093 
1223706 320800 10053 200 4 0.0241724 0.0126582 0.0133379 0.0130466 0.0131119 
306856 80400 2528 100 14 0.00475174 0.00182608 0.000857898 0.000852141 0.000802046 
