64 2 5
Nite Nthr 0.5 0.125 0.03125 0.0078125 0.001953125
100 2 0.000060469 0.000228043 0.000225307 0.000222905 0.000226573 
100 4 0.0000612543 0.00015683 0.000176796 0.000169271 0.000184196 
100 6 0.0000793162 0.000150184 0.000202947 0.000200119 0.000196276 
100 8 0.0000921798 0.000194379 0.000315046 0.000328817 0.000305438 
100 10 0.000092887 0.0000988523 0.000297718 0.000278078 0.000296687 
100 12 0.000106743 0.000133897 0.000403955 0.000373971 0.000379332 
100 14 0.000107294 0.000114294 0.000348204 0.00039239 0.000380155 
100 16 0.000102078 0.000123246 0.00040246 0.000477349 0.00043456 
1000 2 0.000109391 0.000224665 0.000230707 0.000228114 0.00023106 
1000 4 0.000134534 0.000173054 0.00024509 0.000225867 0.000223423 
1000 6 0.000145607 0.000188142 0.000298592 0.000290864 0.000248936 
1000 8 0.00014691 0.000122916 0.000329726 0.000282042 0.000274953 
1000 10 0.000152483 0.000125009 0.000381649 0.000346439 0.000315652 
1000 12 0.000160911 0.000150452 0.000399124 0.000409521 0.000419346 
1000 14 0.000141649 0.00011813 0.000363837 0.000419597 0.000406788 
1000 16 0.000161166 0.000128989 0.000358365 0.000483034 0.000423106 
10000 2 0.00063574 0.000764032 0.000723141 0.00068916 0.000656547 
10000 4 0.000609019 0.000379318 0.000433879 0.000423579 0.000410511 
10000 6 0.000608935 0.000356897 0.000361394 0.000358408 0.00033467 
10000 8 0.000567709 0.000324495 0.000351096 0.000321339 0.000324459 
10000 10 0.000718166 0.000359746 0.000401282 0.000380484 0.000390481 
10000 12 0.000623724 0.000323679 0.000339451 0.000367409 0.000373367 
10000 14 0.000579159 0.000312694 0.000338092 0.0003955 0.000350453 
10000 16 0.000652464 0.000318279 0.00035072 0.000428192 0.000413208 
100000 2 0.00481538 0.00388931 0.00331452 0.00292823 0.0028592 
100000 4 0.00459069 0.00199785 0.0018616 0.00178123 0.00158451 
100000 6 0.00421781 0.00185807 0.00128898 0.00121392 0.00112772 
100000 8 0.00475508 0.00199647 0.00112784 0.00105405 0.00101379 
100000 10 0.00446813 0.00178351 0.000963442 0.000930719 0.000885196 
100000 12 0.00523927 0.00202981 0.000956989 0.000915829 0.000854533 
100000 14 0.00474971 0.00179051 0.000810615 0.000800503 0.00074136 
100000 16 0.00473136 0.00180572 0.000720519 0.000738755 0.000685904 
1000000 2 0.0280525 0.0276107 0.0278857 0.0276044 0.0276198 
1000000 4 0.0295364 0.0143515 0.0147407 0.0147294 0.0148879 
1000000 6 0.0296525 0.0148613 0.0102597 0.0100017 0.0102625 
1000000 8 0.0338506 0.0146058 0.00802848 0.00802662 0.00781994 
1000000 10 0.0309641 0.0145231 0.00769416 0.00645 0.00637068 
1000000 12 0.0314346 0.0147091 0.00594939 0.00574428 0.0055629 
1000000 14 0.0309841 0.0139167 0.0058967 0.00511665 0.00517037 
1000000 16 0.0311854 0.0147489 0.00514053 0.00440778 0.00448135 
10000000 2 0.288512 0.286678 0.286218 0.286204 0.285182 
10000000 4 0.298145 0.148531 0.148351 0.147651 0.151161 
10000000 6 0.309826 0.153284 0.103122 0.102466 0.105173 
10000000 8 0.319986 0.142713 0.0801033 0.0814586 0.0796484 
10000000 10 0.322853 0.157552 0.0794629 0.066183 0.0666114 
10000000 12 0.345729 0.150287 0.0597369 0.0572481 0.0564186 
10000000 14 0.339003 0.127104 0.0596925 0.0481858 0.0472436 
10000000 16 0.340048 0.134417 0.0539358 0.0404958 0.0432284 
100000000 2 2.91008 2.87853 2.86398 2.86176 2.86052 
100000000 4 2.98345 1.48644 1.48565 1.47906 1.55215 
100000000 6 3.05045 1.53108 1.02512 1.05142 1.02376 
100000000 8 3.11094 1.49477 0.796759 0.817136 0.797697 
100000000 10 3.40498 1.57099 0.810334 0.668047 0.650278 
100000000 12 3.20486 1.3852 0.60044 0.570315 0.569841 
100000000 14 3.25554 1.38772 0.596225 0.561664 0.478021 
100000000 16 3.37205 1.33665 0.519333 0.419784 0.448716 
1000000000 2 29.4682 29.4576 29.4621 29.4477 29.4324 
1000000000 4 30.1221 15.0608 15.0035 15.0369 15.0021 
1000000000 6 30.2453 15.3556 10.3456 10.3665 10.335 
1000000000 8 30.4857 13.2788 8.20765 8.028 8.01677 
1000000000 10 31.2789 12.8286 7.91272 6.72861 6.79147 
1000000000 12 31.0082 10.82 6.09167 5.73656 5.64701 
1000000000 14 30.4082 11.5847 5.91948 5.15596 4.95575 
1000000000 16 32.6774 10.6667 4.8998 4.26256 4.26963 
