278 6 5
NTop NFop NCop DDL Nite Nthr 0.5 0.125 0.03125 0.0078125 0.001923125
802 300 101 1 100 12 0.00432835 0.00137498 0.000839272 0.000805756 0.000794185 
0 0 0 0 10000000 4 0.232064 0.117514 0.11683 0.119645 0.119363 
2111 804 102 1 100 10 9.89376e-05 7.97824e-05 0.000220762 0.000206577 0.000196408 
60002 20000 10001 1 10000 16 0.462582 0.214046 0.0782946 0.0611231 0.0614851 
30518506 8004000 250253 2 1000 6 2.85325 1.44588 1.00221 1.00462 1.0111 
90204 20000 20102 2 1000 6 0.0944972 0.0476995 0.0329242 0.0327527 0.032948 
8 8 0 0 10000 6 0.000388203 0.000231263 0.000232387 0.000231005 0.000229555 
802 300 101 1 100000 12 2.71144 1.16842 0.481548 0.44236 0.449308 
802 300 101 1 100000 6 2.38326 1.20386 0.824401 0.825082 0.804353 
68652756 18006000 562878 2 1500 16 9.85179 4.28465 1.74711 1.37726 1.35589 
105011 40004 5002 1 5000 16 0.0683936 0.0279089 0.0117813 0.0100405 0.00919206 
6002 2000 1001 1 1000 16 0.00522418 0.00209453 0.000935179 0.00084185 0.000835173 
10511 4004 502 1 500 6 0.000966294 0.00045195 0.000393284 0.000385194 0.000366224 
7634256 2002000 62628 2 500 6 0.363396 0.182632 0.128627 0.131059 0.129306 
7634256 2002000 62628 2 500 12 0.37395 0.177163 0.0727892 0.0706651 0.0703625 
602 200 101 1 100 4 0.0001457 0.000161954 0.000185424 0.000188191 0.000188392 
6002 2000 1001 1 1000 6 0.00530286 0.00229278 0.00164315 0.00164077 0.00152994 
190671256 50010000 1563128 2 2500 2 42.5605 43.1529 43.0295 42.8666 43.0975 
90204 20000 20102 2 5000 4 0.496622 0.249744 0.250231 0.250207 0.250212 
2 2 0 0 10000 14 0.000497083 0.000230814 0.000238453 0.000264922 0.000260187 
306856 80400 2528 2 100 10 0.00451454 0.0018203 0.000964938 0.000918383 0.000879138 
10020206 1000000 1010103 3 100 2 0.627401 0.583236 0.540725 0.553396 0.550658 
60002 20000 10001 1 10000 14 0.449512 0.169327 0.0832883 0.0680693 0.0667122 
122037006 32008000 1000503 2 2000 2 21.6018 21.9113 21.9114 21.965 21.9504 
68652756 18006000 562878 2 1500 8 9.73702 4.98227 2.61289 2.61841 2.61275 
90204 20000 20102 2 1000 2 0.0890091 0.0900491 0.0900236 0.090169 0.09014 
8 8 0 0 1000 6 0.000116924 0.000116773 0.000173257 0.000177318 0.000159729 
30518506 8004000 250253 2 1000 14 2.8676 1.30304 0.553976 0.476165 0.471268 
10511 4004 502 1 500 2 0.000627746 0.000713121 0.000713307 0.000710838 0.00071152 
90204 20000 20102 2 5000 8 0.526955 0.264797 0.135575 0.135845 0.135491 
105011 40004 5002 1 5000 6 0.0688664 0.034014 0.0231593 0.0225516 0.0226451 
210011 80004 10002 1 10000 2 0.244081 0.248128 0.247965 0.24827 0.24974 
10020206 1000000 1010103 3 100 8 0.692702 0.292004 0.181946 0.177276 0.182536 
21011 8004 1002 1 1000 10 0.00270304 0.00138212 0.000733292 0.000710096 0.00069924 
90204 20000 20102 2 100000 6 10.563 5.31987 3.56038 3.56102 3.56158 
2 2 0 0 1000 16 0.000120183 0.00010058 0.000239153 0.000302943 0.000306258 
190671256 50010000 1563128 2 2500 16 44.0981 15.0984 7.95827 6.34097 6.19626 
602 200 101 1 100 10 0.000133519 9.87943e-05 0.00023298 0.000210635 0.00020317 
90204 20000 20102 2 10000 16 1.24876 0.485529 0.16884 0.165193 0.163128 
420011 160004 20002 1 20000 10 1.09072 0.534078 0.271141 0.226086 0.22383 
802 300 101 1 1000 2 0.0247241 0.0244721 0.0226008 0.0226904 0.0226081 
802 300 101 1 100 14 0.00383017 0.00153289 0.000776527 0.000761061 0.000748039 
6002 2000 1001 1 1000 4 0.0067786 0.00243003 0.00222663 0.00217447 0.00213497 
8 8 0 0 100000 4 0.00383176 0.0017755 0.00182028 0.00181841 0.00185183 
90204 20000 20102 2 10000 12 1.14784 0.486187 0.215845 0.205477 0.202303 
2 2 0 0 100000 12 0.00436207 0.00174182 0.000972113 0.00091301 0.00087021 
210011 80004 10002 1 10000 16 0.274493 0.124901 0.0434078 0.040501 0.037996 
122037006 32008000 1000503 2 2000 12 22.6112 9.29679 4.64789 4.25066 4.27579 
80080406 8000000 8040203 3 200 10 11.5889 3.92392 2.1461 2.21225 1.97423 
802 300 101 1 1000 12 0.0261848 0.0124533 0.00480469 0.0045201 0.0046629 
0 0 0 0 10000000 16 0.250298 0.107314 0.0390553 0.0357687 0.0353855 
802 300 101 1 100 2 0.00358458 0.00321613 0.00281898 0.00254612 0.00243402 
210011 80004 10002 1 10000 14 0.27261 0.127835 0.051301 0.0413025 0.0429817 
10020206 1000000 1010103 3 100 10 0.656274 0.319177 0.145963 0.153356 0.152448 
2111 804 102 1 100 2 8.99e-05 0.000209473 0.00021164 0.000212294 0.00020815 
8 8 0 0 100000 6 0.00381831 0.00178708 0.00130592 0.0012658 0.00129272 
8 8 0 0 1000 8 7.70095e-05 5.12744e-05 0.000130885 0.000128199 0.00011741 
8 8 0 0 100000 16 0.00496712 0.00202829 0.000765432 0.000767512 0.000728117 
90204 20000 20102 2 1000 4 0.0913117 0.0466929 0.0474747 0.0477298 0.0483133 
10020206 1000000 1010103 3 100 12 1.0215 0.26777 0.114423 0.112093 0.111331 
190671256 50010000 1563128 2 2500 10 44.2139 20.5728 11.3892 9.87722 10.0187 
802 300 101 1 100000 10 2.46852 1.24233 0.603815 0.51417 0.526087 
802 300 101 1 1000 4 0.0234057 0.0117186 0.0120864 0.0123448 0.0118324 
30518506 8004000 250253 2 1000 8 2.91112 1.48977 0.773362 0.796162 0.77793 
2 2 0 0 1000 14 0.000142506 9.26022e-05 0.000248668 0.000310875 0.000279376 
802 300 101 1 1000 8 0.0276225 0.012555 0.00669358 0.00684731 0.00668258 
2111 804 102 1 100 8 6.65092e-05 9.15476e-05 0.000121284 0.000114443 0.000111762 
420011 160004 20002 1 20000 4 1.00311 0.516264 0.510563 0.512881 0.510662 
2 2 0 0 10000 2 0.000455406 0.000554586 0.000530739 0.000528994 0.000507006 
8 8 0 0 10000 16 0.00062897 0.000269362 0.000298928 0.000325801 0.000316517 
802 300 101 1 100000 16 2.4884 1.0592 0.35961 0.343664 0.328242 
210011 80004 10002 1 10000 6 0.269852 0.131222 0.0895977 0.0894956 0.0891606 
802 300 101 1 100 8 0.0035813 0.00155063 0.00102355 0.000981115 0.000944875 
7634256 2002000 62628 2 500 10 0.380583 0.18021 0.0886985 0.0846694 0.0846624 
210011 80004 10002 1 10000 8 0.280588 0.13108 0.0702991 0.0703378 0.0700175 
8 8 0 0 10000 10 0.000644208 0.000309359 0.000284213 0.00029464 0.000284608 
80080406 8000000 8040203 3 200 8 9.4636 4.47385 2.59863 2.61105 2.62335 
8 8 0 0 1000 10 9.77864e-05 7.84679e-05 0.000271222 0.000202936 0.000194086 
10020206 1000000 1010103 3 100 6 0.694606 0.282838 0.226668 0.222441 0.222442 
8 8 0 0 10000 12 0.000585615 0.00031516 0.00025493 0.000279619 0.000261682 
30518506 8004000 250253 2 1000 4 2.7879 1.41301 1.43356 1.45327 1.46271 
8 8 0 0 100000 14 0.00441746 0.00182477 0.000830653 0.000751615 0.000755706 
8 8 0 0 1000 4 0.000132425 0.000144211 0.000184124 0.000174715 0.000178794 
21011 8004 1002 1 1000 16 0.00283107 0.00130684 0.000539651 0.000545724 0.000525422 
7634256 2002000 62628 2 500 14 0.37157 0.189155 0.0679618 0.0632047 0.0622063 
306856 80400 2528 2 100 8 0.00438063 0.00177937 0.00114833 0.00108773 0.00104557 
90204 20000 20102 2 50000 2 4.95949 4.95499 4.95287 4.95892 4.95874 
68652756 18006000 562878 2 1500 4 9.31933 4.97856 4.82084 4.80747 4.91746 
2 2 0 0 10000 12 0.000453096 0.000240296 0.000247219 0.000261058 0.000249093 
80080406 8000000 8040203 3 200 4 9.48811 4.5677 4.61814 4.66643 4.65219 
30518506 8004000 250253 2 1000 12 2.89434 1.33482 0.580609 0.536691 0.5369 
2 2 0 0 100 2 2.24594e-05 8.74202e-05 8.89837e-05 8.39541e-05 8.86627e-05 
2111 804 102 1 100 16 0.000104651 7.77942e-05 0.000195016 0.00022054 0.000213291 
306856 80400 2528 2 100 4 0.00445742 0.00196464 0.00186982 0.00178325 0.00174048 
602 200 101 1 100 16 0.000175917 0.000115373 0.000292568 0.000328577 0.000320447 
90204 20000 20102 2 100000 4 11.2573 5.17756 5.17706 5.17605 5.16169 
2 2 0 0 100000 2 0.00393529 0.0033919 0.00298038 0.00276973 0.00277505 
80080406 8000000 8040203 3 200 6 9.79754 4.66859 3.35513 3.38004 3.2941 
