60 2 4
Nite Nthr 0.01 0.05 0.1 0.5
100 2 4.99178e-07 6.84196e-08 2.43852e-08 4.12881e-09 
100 2 4.48081e-07 7.62758e-08 2.75851e-08 2.28255e-09 
100 2 5.03757e-07 1.07237e-07 3.29123e-08 1.4923e-08 
100 2 3.35351e-07 8.96079e-08 4.29811e-08 6.03449e-09 
100 2 4.42838e-07 1.38404e-07 3.01318e-08 1.50172e-08 
100 2 3.73015e-07 1.19811e-07 2.13232e-08 1.34141e-08 
100 2 8.85576e-07 2.43251e-07 4.79291e-08 1.33651e-08 
100 2 7.23591e-07 1.29227e-07 5.438e-08 1.58114e-08 
100 2 3.38524e-07 1.07405e-07 3.69324e-08 7.15669e-09 
100 2 4.19774e-07 8.81545e-08 2.74229e-08 4.3864e-09 
500 2 8.07243e-06 6.61173e-06 5.56866e-06 1.93235e-07 
500 2 8.46152e-06 3.47387e-06 4.90887e-07 1.74458e-07 
500 2 1.17596e-05 1.17666e-05 7.92938e-06 1.60144e-07 
500 2 1.00682e-05 1.13158e-05 1.20594e-05 2.21325e-07 
500 2 5.18797e-06 1.44899e-05 9.25448e-06 2.18357e-07 
500 2 2.5704e-06 6.35697e-06 6.37119e-06 2.37133e-07 
500 2 3.20859e-06 8.55202e-06 4.3809e-06 1.8423e-07 
500 2 1.01227e-05 6.64494e-06 7.06105e-06 2.1283e-07 
500 2 5.57477e-06 4.85458e-06 5.76082e-06 3.41538e-07 
500 2 6.32794e-06 2.0121e-06 1.72832e-06 1.04107e-07 
100 4 4.96735e-08 2.42063e-08 1.86464e-08 1.56739e-08 
100 4 9.0452e-08 4.27036e-08 2.9589e-08 1.57834e-06 
100 4 2.16582e-07 1.49469e-07 3.84387e-08 7.99393e-07 
100 4 1.49452e-08 2.51072e-08 1.40002e-08 2.17941e-07 
100 4 7.40296e-08 4.15994e-08 1.7624e-08 1.83926e-08 
100 4 5.05793e-08 2.25424e-08 6.55992e-09 1.04858e-08 
100 4 5.98235e-08 2.2348e-08 1.51281e-08 1.72114e-08 
100 4 5.03726e-08 2.54116e-08 1.70909e-08 1.41328e-08 
100 4 1.47792e-07 1.34957e-07 5.03972e-08 9.58628e-07 
100 4 6.89246e-08 2.87751e-08 2.53011e-08 3.51128e-08 
500 4 3.52036e-06 5.46618e-06 7.52939e-06 0.010673 
500 4 1.6683e-06 1.06222e-06 5.79986e-06 0.0106669 
500 4 1.21036e-06 1.07652e-06 1.6754e-05 4.1276e-06 
500 4 6.23771e-05 4.44462e-07 5.25411e-06 0.0106354 
500 4 7.32107e-05 2.9408e-07 2.72704e-06 0.0188084 
500 4 1.46295e-06 6.84802e-07 5.41593e-06 0.018902 
500 4 7.99762e-07 6.87892e-07 4.98353e-06 0.028327 
500 4 1.38883e-05 1.75267e-06 5.2041e-06 0.0188646 
500 4 6.02069e-07 6.26846e-05 5.48698e-06 0.0105898 
500 4 6.4724e-05 6.97905e-07 1.47138e-05 1.99546e-07 
100 8 3.23056e-09 1.35498e-09 8.3924e-09 2.71594e-08 
100 8 1.2682e-09 8.64003e-10 6.73034e-09 1.03183e-08 
100 8 1.36821e-09 7.41338e-10 2.08667e-08 2.37278e-06 
100 8 2.17103e-09 2.77881e-09 1.14569e-08 2.19236e-08 
100 8 4.06483e-09 1.859e-09 1.67328e-08 2.26167e-08 
100 8 2.81079e-09 2.57142e-09 2.06342e-08 2.3484e-08 
100 8 1.75926e-07 3.56235e-09 3.27214e-08 7.97769e-07 
100 8 4.14646e-09 1.05832e-09 1.84044e-08 2.29762e-08 
100 8 2.76151e-09 1.55974e-08 3.73195e-08 1.21631e-06 
100 8 2.63463e-09 1.2939e-09 1.89862e-08 2.49883e-08 
500 8 4.50524e-07 7.60608e-06 2.84969e-06 3.95801e-07 
500 8 4.89627e-05 7.26842e-06 1.13463e-05 0.0120808 
500 8 4.60965e-06 2.85355e-06 1.22605e-05 9.87293e-08 
500 8 1.87545e-07 5.41947e-06 1.53159e-05 4.15803e-07 
500 8 3.62764e-07 4.54998e-06 8.1728e-06 0.012008 
500 8 7.72208e-07 6.62669e-06 9.29822e-06 2.19892e-05 
500 8 2.46973e-07 6.65538e-06 8.26071e-06 1.07443e-05 
500 8 2.05031e-07 5.4912e-06 6.53257e-06 3.69214e-06 
500 8 1.58261e-07 7.97693e-06 9.28359e-06 1.57894e-05 
500 8 2.04415e-06 1.18035e-05 5.16456e-06 0.0121549 
