64 6 7
NTop NFop NCop DDL Nite Nthr 0.001 0.005 0.01 0.05 0.1 0.2 0.5
10991106 2882400 90153 2 600 8 0.174966 0.174791 0.175842 0.199542 0.263253 0.367667 0.65939 
2750556 721200 22578 2 300 1 0.148933 0.146974 0.146795 0.146799 0.146853 0.146788 0.146758 
7634256 2002000 62628 2 500 10 0.0853603 0.084464 0.0862598 0.0887368 0.153253 0.198693 0.382804 
7634256 2002000 62628 2 500 12 0.072905 0.0707181 0.071323 0.0810007 0.152389 0.167399 0.373746 
1223706 320800 10053 2 200 1 0.0455903 0.0434129 0.0434844 0.0434126 0.0434206 0.0434181 0.0434004 
7634256 2002000 62628 2 500 14 0.0646579 0.0625199 0.0616119 0.0827057 0.149715 0.195243 0.395981 
306856 80400 2528 2 100 12 0.00123161 0.00133837 0.00115819 0.00122891 0.00167238 0.00204776 0.00332905 
7634256 2002000 62628 2 500 8 0.0987257 0.0977202 0.0978504 0.113805 0.155984 0.255915 0.380522 
7634256 2002000 62628 2 500 6 0.128974 0.130894 0.131414 0.145494 0.149169 0.261138 0.402989 
4887406 1281600 40103 2 400 12 0.0381949 0.0371887 0.0382109 0.0389403 0.0776807 0.122767 0.194643 
306856 80400 2528 2 100 14 0.000989121 0.000875326 0.000884117 0.00110067 0.00155686 0.00224452 0.00320485 
7634256 2002000 62628 2 500 1 0.677352 0.674567 0.674558 0.674385 0.674402 0.67438 0.674334 
306856 80400 2528 2 100 2 0.00468816 0.00468665 0.00440507 0.00368782 0.00330315 0.00349094 0.00297273 
10991106 2882400 90153 2 600 4 0.327067 0.322049 0.319885 0.322412 0.363555 0.48622 0.67874 
4887406 1281600 40103 2 400 8 0.0538882 0.0539928 0.054764 0.0582974 0.0782306 0.131244 0.194357 
306856 80400 2528 2 100 4 0.00300008 0.002579 0.00227266 0.00205441 0.00185688 0.00240943 0.00360498 
2750556 721200 22578 2 300 14 0.0158139 0.0144864 0.0146405 0.0177043 0.0340719 0.0425545 0.0904567 
10991106 2882400 90153 2 600 1 1.16151 1.16042 1.16008 1.16008 1.16003 1.16111 1.15991 
10991106 2882400 90153 2 600 2 0.596131 0.592085 0.592911 0.592744 0.593276 0.701643 0.582569 
19534806 5123200 160203 2 800 1 2.74906 2.74805 2.74706 2.74664 2.74662 2.74663 2.74741 
10991106 2882400 90153 2 600 6 0.224106 0.221386 0.219532 0.247906 0.253246 0.424313 0.629754 
14957956 3922800 122678 2 700 10 0.2288 0.229569 0.229047 0.238892 0.422549 0.503456 1.02871 
14957956 3922800 122678 2 700 14 0.169368 0.168765 0.166738 0.2141 0.4157 0.53676 1.0294 
10991106 2882400 90153 2 600 12 0.122238 0.122448 0.121981 0.136015 0.260424 0.392656 0.709034 
2750556 721200 22578 2 300 10 0.0191613 0.0179531 0.0177467 0.0181951 0.0337951 0.0522359 0.082139 
2750556 721200 22578 2 300 12 0.0185253 0.0161811 0.0162978 0.0177576 0.0334586 0.0581628 0.082023 
1223706 320800 10053 2 200 10 0.00755929 0.00632136 0.00608214 0.00617801 0.00973035 0.0125082 0.0239067 
306856 80400 2528 2 100 10 0.0012887 0.0012137 0.00110778 0.00116939 0.00167961 0.00189175 0.00378841 
