64 6 6
NTop NFop NCop DDL Nite Nthr 0.005 0.01 0.05 0.1 0.2 0.5
306856 80400 2528 2 100 1 0.00638961 0.00553029 0.0055264 0.00554301 0.00552911 0.00548521 
1223706 320800 10053 2 200 1 0.0442286 0.0437138 0.0437061 0.0437051 0.0437076 0.0430014 
2750556 721200 22578 2 300 1 0.145422 0.14537 0.145381 0.145372 0.145409 0.145299 
4887406 1281600 40103 2 400 1 0.347002 0.346932 0.346874 0.346894 0.346868 0.351939 
7634256 2002000 62628 2 500 1 0.667741 0.667575 0.667607 0.667558 0.667583 0.6675 
306856 80400 2528 2 100 2 0.00383569 0.00313937 0.00314417 0.00315606 0.00332162 0.00285199 
1223706 320800 10053 2 200 2 0.0232474 0.0227234 0.0226784 0.0226412 0.026064 0.0228542 
2750556 721200 22578 2 300 2 0.0770793 0.0773082 0.0774261 0.0774711 0.0875212 0.0740071 
4887406 1281600 40103 2 400 2 0.178662 0.178765 0.17874 0.178908 0.206231 0.173727 
7634256 2002000 62628 2 500 2 0.345554 0.346286 0.345654 0.345006 0.403443 0.341684 
306856 80400 2528 2 100 4 0.00188457 0.00182489 0.00175124 0.00171608 0.00230424 0.00299407 
1223706 320800 10053 2 200 4 0.0130508 0.0129114 0.0131152 0.0134356 0.0179853 0.0257009 
2750556 721200 22578 2 300 4 0.0408149 0.0406187 0.0406627 0.0449578 0.0609629 0.0823912 
4887406 1281600 40103 2 400 4 0.0978214 0.0975409 0.0989754 0.107484 0.143074 0.183709 
7634256 2002000 62628 2 500 4 0.180648 0.17978 0.179512 0.208353 0.279178 0.38384 
306856 80400 2528 2 100 6 0.00146802 0.00125643 0.00126533 0.00141075 0.00203336 0.0032675 
1223706 320800 10053 2 200 6 0.00936631 0.00896681 0.00885375 0.00938648 0.0173983 0.0254503 
2750556 721200 22578 2 300 6 0.0289241 0.0290056 0.0310108 0.0330406 0.0593619 0.0813544 
4887406 1281600 40103 2 400 6 0.0675773 0.067042 0.0740962 0.0747339 0.134628 0.196061 
7634256 2002000 62628 2 500 6 0.129095 0.129137 0.142602 0.149115 0.268207 0.391797 
306856 80400 2528 2 100 8 0.00124048 0.00111067 0.00104602 0.00144187 0.00205726 0.00350826 
1223706 320800 10053 2 200 8 0.00713206 0.00709291 0.00760802 0.0097979 0.0179093 0.0259885 
2750556 721200 22578 2 300 8 0.0236382 0.0239783 0.0252461 0.0345148 0.0568667 0.0862478 
4887406 1281600 40103 2 400 8 0.0538346 0.0541107 0.0577447 0.0775833 0.127024 0.201485 
7634256 2002000 62628 2 500 8 0.0981646 0.098063 0.112861 0.155118 0.227103 0.384183 
306856 80400 2528 2 100 10 0.0011942 0.000940885 0.000936502 0.00141047 0.00206085 0.00321007 
1223706 320800 10053 2 200 10 0.00614646 0.00581529 0.00600478 0.0098337 0.0134955 0.0255571 
2750556 721200 22578 2 300 10 0.017894 0.017713 0.0190237 0.0339168 0.0419839 0.0837262 
4887406 1281600 40103 2 400 10 0.0437836 0.0434204 0.042367 0.07707 0.113224 0.191206 
7634256 2002000 62628 2 500 10 0.0847854 0.0838732 0.0842915 0.151374 0.224265 0.383201 
306856 80400 2528 2 100 12 0.00120363 0.000938394 0.000971569 0.00139335 0.00171977 0.00329256 
1223706 320800 10053 2 200 12 0.00525468 0.00512096 0.00577908 0.00980637 0.0128682 0.0253811 
2750556 721200 22578 2 300 12 0.0164854 0.0162624 0.0176248 0.0339966 0.0437833 0.082643 
4887406 1281600 40103 2 400 12 0.0376598 0.0368103 0.0396686 0.0773804 0.0990978 0.201573 
7634256 2002000 62628 2 500 12 0.0713326 0.071046 0.0814365 0.152654 0.186083 0.383778 
306856 80400 2528 2 100 14 0.000939056 0.000777856 0.000948948 0.00150457 0.00201789 0.00319037 
1223706 320800 10053 2 200 14 0.00424279 0.00401815 0.00582217 0.00973675 0.0152216 0.0244573 
2750556 721200 22578 2 300 14 0.0141575 0.0141881 0.017508 0.0332019 0.0451609 0.0845052 
4887406 1281600 40103 2 400 14 0.0311132 0.0308285 0.0387208 0.0762736 0.1034 0.190855 
7634256 2002000 62628 2 500 14 0.0628677 0.0622326 0.0798111 0.150507 0.231201 0.373606 
10991106 2882400 90153 2 600 1 1.15046 1.15023 1.15012 1.15011 1.15015 1.15013 
14957956 3922800 122678 2 700 1 1.82958 1.82909 1.82911 1.82915 1.82912 1.82898 
19534806 5123200 160203 2 800 1 2.7244 2.72389 2.72395 2.72379 2.72381 2.72375 
10991106 2882400 90153 2 600 2 0.588578 0.5882 0.588251 0.587721 0.696079 0.587082 
14957956 3922800 122678 2 700 2 0.932043 0.931384 0.931689 0.92809 1.10431 0.936358 
19534806 5123200 160203 2 800 2 1.38106 1.37976 1.38062 1.39711 1.64555 1.40834 
10991106 2882400 90153 2 600 4 0.322484 0.322396 0.320723 0.361465 0.481861 0.637012 
14957956 3922800 122678 2 700 4 0.485532 0.491857 0.485553 0.5718 0.766135 1.03765 
19534806 5123200 160203 2 800 4 0.736737 0.754447 0.746238 0.853924 1.13555 1.44667 
10991106 2882400 90153 2 600 6 0.222256 0.220852 0.247045 0.251403 0.398833 0.647849 
14957956 3922800 122678 2 700 6 0.360077 0.35866 0.39558 0.405747 0.688229 1.10556 
19534806 5123200 160203 2 800 6 0.526918 0.527195 0.590179 0.592492 0.950128 1.46597 
10991106 2882400 90153 2 600 8 0.174425 0.17379 0.196767 0.260749 0.386316 0.708087 
14957956 3922800 122678 2 700 8 0.278722 0.277513 0.313588 0.421291 0.672621 1.02723 
19534806 5123200 160203 2 800 8 0.413582 0.406891 0.461368 0.615686 0.982055 1.56383 
10991106 2882400 90153 2 600 10 0.139928 0.139584 0.146962 0.259856 0.355994 0.664032 
14957956 3922800 122678 2 700 10 0.226824 0.224127 0.228387 0.41551 0.582721 1.05135 
19534806 5123200 160203 2 800 10 0.319463 0.329163 0.337352 0.616031 0.844482 1.52791 
10991106 2882400 90153 2 600 12 0.120862 0.120349 0.136783 0.256248 0.406742 0.634301 
