63 6 7
NTop NFop NCop DDL Nite Nthr 0.0005 0.001 0.005 0.01 0.05 0.1 0.5
306856 80400 2528 2 100 2 0.00532852 0.00422802 0.00358676 0.0032363 0.00317812 0.00314592 0.00291051 
1223706 320800 10053 2 200 2 0.0272245 0.0225367 0.0223595 0.0226503 0.0225799 0.0225161 0.0214417 
4887406 1281600 40103 2 400 2 0.177912 0.176485 0.1768 0.180951 0.190725 0.17734 0.170695 
10991106 2882400 90153 2 600 2 0.585633 0.585177 0.601468 0.585061 0.59206 0.601791 0.601932 
19534806 5123200 160203 2 800 2 1.52048 1.58681 1.43135 1.4774 1.40895 1.37316 1.4023 
30518506 8004000 250253 2 1000 2 2.9808 2.88336 3.26608 3.05911 3.10321 2.86984 2.8747 
68652756 18006000 562878 2 1500 2 9.15875 9.12773 9.07051 9.15146 9.18745 9.13021 9.06598 
122037006 32008000 1000503 2 2000 2 21.735 21.7283 21.812 21.8082 21.8719 21.8354 21.6034 
190671256 50010000 1563128 2 2500 2 42.6269 42.4849 42.6303 42.7977 42.5218 42.9924 43.5261 
306856 80400 2528 2 100 4 0.00292351 0.00249875 0.00234628 0.00202438 0.00186763 0.00182776 0.00302428 
1223706 320800 10053 2 200 4 0.0131808 0.0130046 0.0127302 0.0126915 0.0126654 0.013494 0.0228259 
4887406 1281600 40103 2 400 4 0.0969797 0.0963904 0.0958688 0.0971578 0.0970066 0.105977 0.199264 
10991106 2882400 90153 2 600 4 0.31978 0.321508 0.318903 0.31732 0.321235 0.38346 0.697215 
19534806 5123200 160203 2 800 4 0.859993 0.82123 0.802759 0.780058 0.786117 0.851671 1.43328 
30518506 8004000 250253 2 1000 4 1.42351 1.44159 1.49823 1.51855 1.50811 1.71585 3.16434 
68652756 18006000 562878 2 1500 4 4.82084 4.80955 4.88986 4.84505 4.79388 5.61859 9.35206 
122037006 32008000 1000503 2 2000 4 11.402 11.3594 11.4011 11.3368 11.3348 13.4397 22.2453 
190671256 50010000 1563128 2 2500 4 22.4137 22.2926 22.2487 22.2694 22.2432 26.2685 43.8016 
306856 80400 2528 2 100 6 0.00209713 0.00183295 0.00171459 0.00154952 0.00144118 0.00155265 0.00305589 
1223706 320800 10053 2 200 6 0.00959798 0.00917201 0.00868443 0.00901702 0.00904812 0.00937953 0.0275791 
4887406 1281600 40103 2 400 6 0.0663677 0.0673088 0.0668212 0.0674645 0.0733848 0.0746251 0.182906 
10991106 2882400 90153 2 600 6 0.215962 0.215894 0.221668 0.216391 0.247281 0.250717 0.619508 
19534806 5123200 160203 2 800 6 0.526616 0.533954 0.523048 0.522615 0.589964 0.592983 1.60155 
30518506 8004000 250253 2 1000 6 1.02405 1.06075 1.10638 1.01317 1.13454 1.15139 3.35216 
68652756 18006000 562878 2 1500 6 3.32953 3.33313 3.34309 3.33242 3.88524 3.93604 9.56364 
122037006 32008000 1000503 2 2000 6 7.91752 7.84541 7.8376 7.88513 9.22963 9.44594 22.4268 
190671256 50010000 1563128 2 2500 6 15.4564 15.5674 15.4928 15.4807 18.0824 18.2549 43.5778 
306856 80400 2528 2 100 8 0.0015332 0.0013935 0.00131163 0.00122513 0.00116937 0.0015165 0.00314116 
1223706 320800 10053 2 200 8 0.00704039 0.00700395 0.00722229 0.00691919 0.0075628 0.00974426 0.0238676 
4887406 1281600 40103 2 400 8 0.0539925 0.0532533 0.0550783 0.0538624 0.0573437 0.0769817 0.211742 
10991106 2882400 90153 2 600 8 0.172896 0.175923 0.17272 0.172421 0.198202 0.259162 0.6361 
19534806 5123200 160203 2 800 8 0.404807 0.408541 0.407387 0.401964 0.458571 0.61303 1.51275 
30518506 8004000 250253 2 1000 8 0.788084 0.77009 0.768506 0.768437 0.892281 1.20527 2.95706 
68652756 18006000 562878 2 1500 8 2.60401 2.61057 2.61269 2.59874 3.02592 4.06287 9.72439 
122037006 32008000 1000503 2 2000 8 6.3199 6.17828 6.19319 6.18852 7.16585 9.502 22.5623 
190671256 50010000 1563128 2 2500 8 12.1291 12.3866 12.1684 12.0866 14.0668 18.4476 44.3472 
306856 80400 2528 2 100 10 0.00103271 0.00097171 0.000975465 0.000934332 0.00105726 0.00156876 0.0031798 
1223706 320800 10053 2 200 10 0.007345 0.00581522 0.00610239 0.00603799 0.00584332 0.00964766 0.0238616 
4887406 1281600 40103 2 400 10 0.0430288 0.0427454 0.0426185 0.0425989 0.0427655 0.0773345 0.190563 
10991106 2882400 90153 2 600 10 0.140057 0.139377 0.139701 0.158372 0.166981 0.257568 0.643123 
19534806 5123200 160203 2 800 10 0.33099 0.323166 0.323675 0.312229 0.321418 0.603461 1.50109 
30518506 8004000 250253 2 1000 10 0.63902 0.631427 0.655393 0.648319 0.676882 1.18821 3.09838 
68652756 18006000 562878 2 1500 10 2.12516 2.16231 2.19807 2.17587 2.14036 3.98906 10.0176 
122037006 32008000 1000503 2 2000 10 5.07878 5.10723 5.01219 4.97439 5.44331 8.01632 22.8261
190671256 50010000 1563128 2 2500 10 10.024 9.69156 9.70443 9.68738 10.2665 14.8491 44.1303 
306856 80400 2528 2 100 12 0.0012682 0.0011763 0.00112324 0.00104205 0.00110003 0.00161753 0.00322635 
1223706 320800 10053 2 200 12 0.00651439 0.00529431 0.00486893 0.0050471 0.00585668 0.00964808 0.0235676 
4887406 1281600 40103 2 400 12 0.0392227 0.0356894 0.0367757 0.0364506 0.0385666 0.0766454 0.20668 
10991106 2882400 90153 2 600 12 0.122823 0.120682 0.119322 0.119162 0.136354 0.256342 0.757346 
19534806 5123200 160203 2 800 12 0.277845 0.28138 0.28561 0.283464 0.307337 0.61294 1.51084 
30518506 8004000 250253 2 1000 12 0.558883 0.554956 0.538885 0.546684 0.61182 1.19022 2.90578 
