104 6 10
NTop NFop NCop DDL Nite Nthr 0.01 0.02 0.05 0.07 0.1 0.2 0.25 0.5 0.005 0.0025
306856 80400 2528 2 100 2 0.00494377 0.00397563 0.00337331 0.00291897 0.00344146 0.00346604 0.00295108 0.00291646 0.00321711 0.00324489 
306856 80400 2528 2 100 3 0.00239775 0.00222841 0.00230129 0.00336786 0.00231791 0.00237651 0.00284797 0.00328666 0.00218793 0.00218177 
306856 80400 2528 2 100 4 0.00238394 0.00221997 0.00194811 0.00359179 0.00181384 0.00235703 0.00277015 0.00338017 0.00175088 0.00173519 
306856 80400 2528 2 100 5 0.001964 0.00174891 0.00159978 0.00337407 0.00145705 0.00234086 0.00233161 0.00443339 0.00135239 0.00138068 
306856 80400 2528 2 100 6 0.00199806 0.00176705 0.0017038 0.00357537 0.00164162 0.00246667 0.00220667 0.00330573 0.00124873 0.00124486 
306856 80400 2528 2 100 7 0.00137008 0.00160775 0.00181916 0.00367866 0.00146317 0.00209714 0.00225247 0.00313186 0.00106458 0.0010633 
306856 80400 2528 2 100 8 0.00104257 0.0010366 0.00137852 0.00341733 0.0014072 0.00221412 0.00229539 0.00330637 0.00103383 0.00103394 
306856 80400 2528 2 100 9 0.00149589 0.00155128 0.00184727 0.00396342 0.00149123 0.001725 0.00204918 0.00303868 0.000887657 0.000859511 
306856 80400 2528 2 100 10 0.00120883 0.00118484 0.00147464 0.00333814 0.00148401 0.00199474 0.00240895 0.00318351 0.000846501 0.000829172 
306856 80400 2528 2 100 11 0.0011608 0.0011804 0.00160756 0.00389729 0.00150607 0.00208099 0.00210308 0.00312159 0.000818498 0.000821321 
306856 80400 2528 2 100 12 0.00117635 0.00120341 0.00164335 0.00470223 0.00158815 0.00259218 0.00236054 0.00320929 0.000801358 0.000788537 
306856 80400 2528 2 100 13 0.00103136 0.00123692 0.00161851 0.00344662 0.00149697 0.0018993 0.00184057 0.00308986 0.000910194 0.000784541 
306856 80400 2528 2 100 14 0.00110181 0.00134217 0.00183634 0.00388574 0.00139056 0.00194901 0.00223025 0.00309112 0.000662706 0.000689193 
1223706 320800 10053 2 200 2 0.0235353 0.0233216 0.0227959 0.0219715 0.0222192 0.025701 0.0222821 0.0213378 0.0222928 0.0223814 
1223706 320800 10053 2 200 3 0.0153891 0.0153807 0.0177792 0.0242993 0.0177992 0.0178339 0.0219841 0.0242959 0.0152663 0.0151861 
1223706 320800 10053 2 200 4 0.0136973 0.0127748 0.0133997 0.0227727 0.0134319 0.0179002 0.0199733 0.0220984 0.0129207 0.0129794 
1223706 320800 10053 2 200 5 0.0119251 0.0107952 0.00937363 0.0255234 0.00936365 0.0183169 0.0197315 0.027448 0.0101032 0.0103463 
1223706 320800 10053 2 200 6 0.0105062 0.00870524 0.00946402 0.025858 0.00930501 0.018568 0.0166547 0.0258845 0.00874742 0.00842644 
1223706 320800 10053 2 200 7 0.00949049 0.00785942 0.00967832 0.0240356 0.00965935 0.0173076 0.017732 0.0237639 0.00773506 0.00775008 
