30 6 4
Nop Nfop Ncop DDL Nite Nthr 0.01 0.05 0.1 0.5
306856 80400 2528 2 100 2 1.1236 0.0241198 0.00307439 0.00182167 
306856 80400 2528 2 100 2 1.11634 0.00313017 0.000628008 0.0002305 
306856 80400 2528 2 100 2 0.166758 0.00346697 0.00083661 0.000219805 
306856 80400 2528 2 100 2 0.0800053 0.000170425 0.000799314 0.000123638 
306856 80400 2528 2 100 2 0.0370244 0.000826353 0.00132638 6.97921e-05 
7634256 2002000 62628 2 500 2 0.000368671 0.21887 0.000260003 0.000151739 
7634256 2002000 62628 2 500 2 0.000287575 0.279851 0.000233319 0.612306 
7634256 2002000 62628 2 500 2 0.000147498 8.70139e-05 0.0677544 3.13617e-05 
7634256 2002000 62628 2 500 2 0.0307543 0.000309353 0.0315239 0.029024 
7634256 2002000 62628 2 500 2 0.0130487 0.0243376 0.000166829 0.0660993 
306856 80400 2528 2 100 4 2.25882 0.0179307 0.0127809 0.410786 
306856 80400 2528 2 100 4 3.49644 0.00603265 0.0146625 0.289102 
306856 80400 2528 2 100 4 0.71035 0.0087983 0.00525775 0.108307 
306856 80400 2528 2 100 4 0.30497 0.0040103 0.00355264 0.139327 
306856 80400 2528 2 100 4 0.495068 0.00208865 0.00384564 0.245658 
7634256 2002000 62628 2 500 4 0.00425347 0.0139567 0.00175172 0.421801 
7634256 2002000 62628 2 500 4 0.0560253 0.00090908 0.00167751 0.116852 
7634256 2002000 62628 2 500 4 0.0670686 0.0022864 0.0213134 0.0869022 
7634256 2002000 62628 2 500 4 0.1462 0.0195412 0.000541268 0.0392406 
7634256 2002000 62628 2 500 4 0.00289388 0.0153 0.00651797 0.0297914 
306856 80400 2528 2 100 8 2.60187 0.00810535 0.0640725 0.0828955 
306856 80400 2528 2 100 8 0.00917196 0.0130471 0.0219374 0.178829 
306856 80400 2528 2 100 8 0.986982 0.00119516 0.00975828 0.053833 
306856 80400 2528 2 100 8 0.127027 0.00126192 0.00801864 0.0279597 
306856 80400 2528 2 100 8 0.40731 0.00125289 0.00628827 0.0172046 
7634256 2002000 62628 2 500 8 0.00151949 0.00240091 0.0011894 0.21868 
7634256 2002000 62628 2 500 8 0.00491518 0.00394664 0.0013849 0.0548731 
7634256 2002000 62628 2 500 8 0.0458508 0.0067191 0.000889069 0.0212819 
7634256 2002000 62628 2 500 8 0.000981516 0.000290915 0.000703113 0.0224639 
7634256 2002000 62628 2 500 8 0.000233335 0.000575849 0.00139958 0.0130043 
