59 2 4
Nite Nthr 0.01 0.05 0.1 0.5
100 2 1.13041e-07 6.89765e-08 1.95499e-08 6.01079e-11 
100 2 3.1149e-07 8.34283e-09 5.6333e-09 3.15591e-11 
100 2 1.30326e-07 4.39863e-10 3.01098e-07 3.67836e-09 
100 2 6.88115e-07 3.76986e-09 4.91718e-10 1.48531e-09 
100 2 4.79107e-07 3.13452e-08 5.82575e-09 5.69252e-10 
100 2 2.852e-07 5.16793e-10 1.69143e-09 4.2776e-10 
100 2 1.8524e-07 2.50261e-09 4.21787e-09 2.37784e-10 
100 2 4.48607e-07 7.86279e-09 1.60164e-09 1.89954e-09 
100 2 3.33115e-07 1.8627e-09 1.19996e-09 1.49413e-09 
100 2 3.37962e-07 1.79161e-09 6.60224e-09 1.19192e-10 
500 2 1.88046e-05 1.10624e-05 8.03579e-06 7.55436e-08 
500 2 8.3694e-06 1.78191e-06 1.16363e-05 7.98864e-08 
500 2 6.27546e-06 5.55737e-06 4.59773e-06 1.21463e-07 
500 2 1.02917e-05 1.58302e-05 8.78153e-06 1.66071e-07 
500 2 8.24347e-06 5.55154e-06 6.84766e-06 2.04818e-07 
500 2 8.64185e-06 6.51652e-06 5.63867e-06 1.61573e-07 
500 2 7.44041e-06 6.34062e-06 9.105e-06 1.52635e-07 
500 2 5.73058e-06 6.71092e-06 6.93926e-06 1.64519e-06 
500 2 9.83014e-06 1.17855e-05 8.36147e-06 1.42521e-06 
500 2 7.28573e-06 7.92674e-06 4.18061e-06 1.43735e-06 
100 4 4.71024e-08 2.06126e-08 7.44263e-09 9.62973e-09 
100 4 4.1911e-08 1.493e-08 1.06596e-08 3.4195e-07 
100 4 1.03352e-07 3.10603e-08 1.07726e-08 4.75019e-07 
100 4 7.00084e-08 1.41776e-08 1.36674e-08 1.567e-08 
100 4 2.32433e-07 1.64098e-08 9.02903e-09 1.41016e-07 
100 4 8.312e-08 1.25848e-08 9.13206e-09 6.54811e-07 
100 4 1.04017e-07 1.69984e-08 1.15469e-08 3.90671e-07 
100 4 4.30346e-08 1.28125e-08 1.41941e-08 2.63683e-07 
100 4 1.50757e-07 1.42099e-08 1.07095e-08 4.86821e-07 
100 4 9.8461e-08 1.34885e-08 8.65303e-09 2.11242e-07 
500 4 1.11887e-05 4.84294e-07 6.22199e-06 1.77653e-07 
500 4 9.64742e-07 3.82854e-05 7.40222e-06 0.00557125 
500 4 5.87666e-05 6.32191e-05 8.23023e-06 0.0107407 
500 4 3.23933e-05 5.78877e-05 1.5431e-05 0.0129245 
500 4 6.2349e-05 1.31574e-06 1.10507e-05 0.00666733 
500 4 6.41534e-05 1.20297e-06 1.16985e-05 0.00732913 
500 4 2.99778e-05 6.11796e-05 9.34835e-06 0.0145061 
500 4 1.99503e-05 1.30692e-06 8.52592e-06 0.0128569 
500 4 2.85999e-05 3.0353e-05 7.83229e-06 0.00955369 
500 4 1.54061e-05 0.000138758 1.11114e-05 0.00563512 
100 8 1.39007e-09 8.54347e-10 1.34046e-08 1.0108e-11 
100 8 9.32164e-09 2.9995e-09 2.05579e-08 1.55052e-07 
100 8 1.1332e-08 3.69444e-09 1.39457e-08 5.57802e-07 
100 8 1.04615e-08 2.62809e-09 8.20003e-08 1.97344e-07 
100 8 2.50818e-08 4.10729e-09 1.3277e-08 4.73228e-07 
100 8 1.0459e-08 2.74477e-10 1.38078e-08 5.24309e-07 
100 8 3.55669e-08 1.25956e-09 1.32408e-08 1.1904e-07 
100 8 3.186e-08 1.87369e-09 1.69663e-08 2.06191e-07 
100 8 2.745e-08 1.02424e-09 1.55828e-08 3.65044e-07 
100 8 9.13885e-11 8.67414e-10 1.44161e-08 3.98872e-07 
500 8 1.19236e-06 8.3001e-06 9.66872e-06 1.13682e-05 
500 8 2.48724e-05 1.93157e-05 7.72453e-06 4.01544e-05 
500 8 3.29242e-05 5.1198e-06 7.5523e-06 1.25099e-05 
500 8 4.94801e-07 5.22537e-06 9.92923e-06 1.05625e-06 
500 8 3.48685e-07 5.75318e-06 8.82042e-06 0.00526859 
500 8 1.44546e-06 7.83062e-06 1.05832e-05 0.00218317 
500 8 1.69162e-05 4.88311e-06 8.42092e-06 0.00554314 
500 8 1.30602e-05 9.7754e-06 8.81947e-06 1.22458e-05 
500 8 6.99247e-06 6.6389e-06 8.28833e-06 0.00150004 

