60 2 4
Nite Nthr 0.01 0.05 0.1 0.5
100 2 3.70921e-07 1.10404e-07 4.40392e-08 1.65954e-08 
100 2 2.50113e-07 3.31558e-08 3.45496e-09 3.85268e-11 
100 2 5.01957e-07 7.07132e-10 3.5137e-09 2.44066e-11 
100 2 2.05302e-08 3.68355e-08 3.4123e-09 2.961e-11 
100 2 5.51252e-07 1.36558e-08 1.22244e-08 7.28471e-11 
100 2 5.01214e-07 2.61229e-09 3.68313e-09 4.45098e-11 
100 2 1.32435e-08 1.1996e-08 1.49667e-09 1.13034e-09 
100 2 1.83019e-07 4.44945e-10 5.24406e-09 7.35025e-10 
100 2 7.37283e-08 1.97989e-09 4.73864e-09 5.82932e-10 
100 2 2.80644e-07 4.32858e-09 4.06483e-09 4.7769e-11 
500 2 1.23799e-05 1.21815e-05 6.26987e-06 7.69732e-08 
500 2 8.66847e-06 7.99947e-06 6.37138e-06 1.51948e-07 
500 2 1.28852e-05 1.48106e-05 1.20509e-05 1.08581e-07 
500 2 5.28081e-06 6.88227e-06 4.39367e-06 1.097e-07 
500 2 7.10204e-06 2.85181e-06 4.3155e-06 2.16127e-07 
500 2 7.68569e-06 4.42988e-06 2.96823e-06 1.27349e-07 
500 2 7.65126e-06 4.25194e-06 4.15971e-06 1.58148e-07 
500 2 8.68731e-06 9.13977e-06 8.60936e-06 1.63469e-07 
500 2 4.71885e-06 1.14059e-05 5.0459e-06 4.4058e-07 
500 2 1.0191e-05 9.43141e-06 9.74332e-06 3.7647e-06 
100 4 7.86838e-08 5.03481e-08 1.46733e-08 1.48549e-08 
100 4 9.81625e-08 3.59672e-08 1.2852e-08 3.71476e-07 
100 4 1.09908e-07 2.19047e-08 1.56131e-08 4.67603e-07 
100 4 1.08663e-07 1.62331e-08 1.47971e-08 9.16355e-07 
100 4 1.39908e-07 3.90021e-08 4.62665e-09 1.48457e-07 
100 4 1.29392e-07 1.22496e-08 1.47519e-08 3.49685e-07 
100 4 1.0168e-07 1.39885e-08 9.68545e-09 3.91395e-07 
100 4 2.18268e-07 1.41423e-08 1.09914e-08 6.53359e-07 
100 4 1.98202e-07 1.25873e-08 1.05002e-08 4.57876e-07 
100 4 1.94297e-08 1.55174e-08 9.76402e-09 2.11269e-07 
500 4 1.69661e-06 4.82737e-07 7.44047e-06 1.89195e-05 
500 4 8.99567e-05 1.10142e-06 1.02883e-05 0.0149718 
500 4 2.36479e-05 0.000116508 9.92048e-06 3.35535e-05 
500 4 1.68406e-05 1.69768e-05 6.1714e-06 0.0107547 
500 4 1.65671e-05 4.24546e-05 1.12096e-05 0.0045293 
500 4 4.25263e-05 1.30146e-05 6.49233e-06 0.0149742 
500 4 6.29862e-05 1.00377e-05 8.58549e-06 0.0105999 
500 4 8.0516e-05 4.03742e-05 1.0635e-05 0.00563405 
500 4 3.12046e-05 3.23896e-05 9.07182e-06 0.00953091 
500 4 7.89407e-05 2.72602e-05 2.53908e-05 0.01082 
100 8 6.97939e-10 1.10666e-09 1.34108e-08 2.54809e-11 
100 8 1.27699e-08 2.89412e-09 2.00569e-08 3.00605e-11 
100 8 1.29512e-08 7.72548e-09 1.60235e-08 7.6288e-07 
100 8 1.98917e-08 6.08312e-09 1.11042e-08 5.86641e-07 
100 8 2.72236e-08 1.60559e-08 9.73775e-09 3.22124e-07 
100 8 2.65998e-08 8.90019e-10 1.38743e-08 4.22165e-07 
100 8 3.43569e-08 3.9829e-09 1.09112e-08 2.32878e-07 
100 8 1.12937e-08 1.04164e-09 3.00734e-08 5.8723e-07 
100 8 9.39524e-09 1.72601e-09 3.06179e-08 6.81023e-07 
100 8 1.96725e-08 3.85876e-09 1.40787e-08 2.594e-07 
500 8 5.63123e-05 5.67336e-06 1.30476e-05 0.0121174 
500 8 2.6284e-05 1.04833e-05 8.59007e-06 0.012069 
500 8 1.70835e-05 6.14996e-06 7.51315e-06 0.00431098 
500 8 9.13226e-07 4.53524e-06 6.33057e-06 1.87904e-06 
500 8 1.06703e-05 4.3223e-06 1.01608e-05 1.18126e-05 
500 8 1.08253e-05 6.64518e-06 3.977e-05 0.0021963 
500 8 1.20388e-06 6.40698e-06 1.00712e-05 0.00189356 
500 8 2.57758e-05 5.94171e-06 1.00766e-05 0.00329681 
500 8 1.25747e-05 5.5975e-06 7.81364e-06 0.00145268 
500 8 1.10929e-05 4.79321e-06 9.91141e-06 0.00522951 
