30 6 4
Nop Nfop Ncop DDL Nite Nthr 0.01 0.05 0.1 0.5
306856 80400 2528 2 100 2 4.71378e-07 7.54001e-11 3.22054e-10 1.25852e-11 
306856 80400 2528 2 100 2 5.47777e-08 3.39319e-11 2.90868e-10 9.48868e-12 
306856 80400 2528 2 100 2 1.34407e-08 2.94904e-11 1.70853e-09 2.91533e-12 
306856 80400 2528 2 100 2 1.24639e-08 9.00214e-11 6.03175e-11 3.66352e-12 
306856 80400 2528 2 100 2 9.89619e-09 3.48817e-11 1.13876e-10 1.13127e-11 
7634256 2002000 62628 2 500 2 2.53004e-06 2.04275e-06 4.64317e-07 1.76654e-07 
7634256 2002000 62628 2 500 2 3.43836e-07 1.17419e-07 5.5738e-07 1.11919e-08 
7634256 2002000 62628 2 500 2 1.01757e-07 2.59885e-07 1.6654e-07 1.54785e-08 
7634256 2002000 62628 2 500 2 2.55137e-07 3.49863e-07 1.67865e-07 5.38475e-08 
7634256 2002000 62628 2 500 2 3.57322e-07 2.85344e-07 1.36319e-07 3.39057e-08 
306856 80400 2528 2 100 4 1.22377e-07 9.59402e-08 3.07487e-10 8.69727e-08 
306856 80400 2528 2 100 4 9.27262e-08 3.07402e-10 2.81256e-10 3.94045e-08 
306856 80400 2528 2 100 4 2.85734e-08 2.68831e-10 2.29396e-10 1.20797e-08 
306856 80400 2528 2 100 4 1.66277e-08 9.87617e-11 1.72119e-10 1.00728e-08 
306856 80400 2528 2 100 4 1.5566e-08 4.24686e-11 4.64854e-11 1.55978e-08 
7634256 2002000 62628 2 500 4 1.16847e-06 2.90142e-06 6.1329e-07 0.000580778 
7634256 2002000 62628 2 500 4 4.58327e-07 1.23493e-06 4.8751e-07 6.04562e-05 
7634256 2002000 62628 2 500 4 1.88783e-06 1.42497e-06 7.85896e-07 0.000180383 
7634256 2002000 62628 2 500 4 2.80838e-07 5.55854e-07 1.40356e-07 9.30418e-05 
7634256 2002000 62628 2 500 4 1.69802e-07 2.5352e-07 2.00925e-07 9.14145e-05 
306856 80400 2528 2 100 8 4.07775e-08 3.52322e-10 4.1036e-10 5.31024e-08 
306856 80400 2528 2 100 8 1.69329e-08 5.18862e-11 1.16846e-09 2.40438e-08 
306856 80400 2528 2 100 8 7.04402e-09 6.83537e-11 1.25714e-10 8.7557e-09 
306856 80400 2528 2 100 8 6.11974e-09 2.66171e-11 1.67787e-10 2.92799e-09 
306856 80400 2528 2 100 8 3.43648e-09 7.06202e-12 1.26789e-10 7.68798e-09  
7634256 2002000 62628 2 500 8 5.41288e-07 1.26612e-06 1.33467e-06 0.000631594 
7634256 2002000 62628 2 500 8 2.29436e-07 4.10092e-07 5.46594e-07 7.15528e-05 
7634256 2002000 62628 2 500 8 1.56597e-07 2.69702e-07 1.2618e-05 8.73977e-05 
7634256 2002000 62628 2 500 8 4.6679e-06 6.73395e-08 4.84497e-06 2.13681e-05 
7634256 2002000 62628 2 500 8 4.82748e-08 1.65332e-06 8.85256e-07 2.15464e-05 

